Date,BTC,LTC,NMC,PPC,FTC,XRP,DOGE,VTC,DGB,RDD,DASH,XCP,MONA,GRS,XMR,CLOAK,BCN,NAV,XDN,BTS,VIA,XLM,SYS,EMC,GAME,XVG,BLOCK,XEM,ETH
2016-11-03T23:00:00Z,703.2349853516,3.8788900375,0.2412319928,0.2445719987,0.00715682981536,0.00815679971129,2.1945500339e-4,0.0298635997,3.105729993e-4,4.226839883e-5,9.1253995895,2.6198599339,0.0289018992,0.00204590009525,4.847509861,0.0670965984,5.583480015e-5,0.0405380987,1.8794099742e-4,0.00448979018256,0.0203252006,0.00199907994829,0.00873367022723,0.2283059955,0.1810369939,2.120110003e-5,0.2333620042,0.00372198992409,11.0907001495
2016-11-04T23:00:00Z,703.4180297852,3.8666899204,0.2519670129,0.2459899932,0.00670114019886,0.00823049992323,2.2224300483e-4,0.0321144015,3.1664900598e-4,3.820229904e-5,9.206410408,2.6682500839,0.0292055998,0.00198364001699,5.0208501816,0.0689836964,5.563849845e-5,0.0441601016,1.7543599824e-4,0.00450963014737,0.0239074994,0.00202094996348,0.00937607977539,0.2324399948,0.1740249991,2.111130016e-5,0.2652359903,0.00388485006988,11.0024995804
2016-11-05T23:00:00Z,711.5219726563,3.8892500401,0.2495580018,0.2518489957,0.00670156022534,0.00819339975715,2.2133400489e-4,0.0344532989,3.1254300848e-4,4.271210128e-5,9.3969802856,2.9404900074,0.0301376004,0.00193597003818,4.9650998116,0.0633962005,5.648280057e-5,0.0445090011,1.7077599477e-4,0.00430087000132,0.0213682,0.00195931992494,0.00841643009335,0.2291730046,0.1734980047,2.844799928e-5,0.2336509973,0.00370619003661,10.8734998703
2016-11-06T23:00:00Z,703.1309814453,3.8388700485,0.2566170096,0.2469819933,0.00646999012679,0.00810845009983,2.3901399982e-4,0.0319490992,3.0315600452e-4,3.542170089e-5,9.9187898636,2.7047300339,0.0294185001,0.00189777999185,5.7386097908,0.0809184983,5.571770089e-5,0.0423546992,1.665650052e-4,0.00431133015081,0.0197152998,0.00201286002994,0.00786591041833,0.2116740048,0.1608829945,2.108650006e-5,0.2285750061,0.004125200212,10.8087997437
2016-11-07T23:00:00Z,709.8480224609,3.8427600861,0.2444179952,0.2473369986,0.00663514994085,0.00820627994835,2.293449943e-4,0.0311165992,3.0807399889e-4,3.566229861e-5,9.7630901337,2.8101499081,0.0292003993,0.00185330002569,6.3161897659,0.0754347965,4.978659854e-5,0.0412860997,1.6962899826e-4,0.00431992020458,0.0204865001,0.00198590010405,0.00776020996273,0.1903589964,0.1645399928,2.131039946e-5,0.2044949979,0.00412546982989,10.8337001801
2016-11-08T23:00:00Z,723.2730102539,3.8646099567,0.2322749943,0.241275996,0.00657504983246,0.00807879958302,2.2923700453e-4,0.0299066994,2.9652600642e-4,3.807900066e-5,9.6995697021,2.8070099354,0.0288973004,0.0018307500286,6.1872401237,0.0740901977,5.063480057e-5,0.0416456014,1.6840800527e-4,0.00428290013224,0.0195076,0.00196811999194,0.00775368977338,0.1838669926,0.151801005,2.17570996e-5,0.20954500140000001,0.00392276979983,10.655500412
2016-11-09T23:00:00Z,715.533996582,3.8242399693,0.2290100008,0.2421829998,0.0066256201826,0.00813596975058,2.2817800345e-4,0.0298868008,2.9313898995e-4,3.953139822e-5,9.6719398499,2.5913701057,0.0281563997,0.00188880995847,6.1021900177,0.0683688968,4.994080155e-5,0.0385367014,1.737010025e-4,0.00431201001629,0.0189327002,0.00194790994283,0.00779264001176,0.1935870051,0.1452219933,2.146380029e-5,0.2029390037,0.00415877019987,10.5244998932
2016-11-10T23:00:00Z,716.4110107422,3.8160099983,0.2227869928,0.2447180003,0.00664367014542,0.00806511007249,2.2679800168e-4,0.0288737994,2.8792599915e-4,3.853490125e-5,9.6650800705,2.7065498829,0.0267476998,0.0018483500462,6.7799601555,0.0730241016,5.053660061e-5,0.0380806997,1.7165699683e-4,0.00426603993401,0.0192949008,0.00191303004976,0.00792032014579,0.1976040006,0.1468279958,2.149250031e-5,0.2220180035,0.00486702984199,10.289899826
2016-11-11T23:00:00Z,705.0540161133,3.7638800144,0.2098170072,0.2391149998,0.00656678993255,0.00804398022592,2.2025499493e-4,0.0297929998,3.0348901055e-4,4.02357e-5,9.6405000687,2.6101200581,0.026362,0.00174743996467,7.4357099533,0.0714365989,4.931640069e-5,0.0392162986,1.7520299298e-4,0.00443068007007,0.0185642,0.00189891003538,0.00810481980443,0.1930540055,0.1586930007,2.563000089e-5,0.1878550053,0.00477250991388999,9.8779602051
2016-11-12T23:00:00Z,702.0310058594,3.878000021,0.2359289974,0.2733840048,0.00747760012746,0.00825744029135,2.2546999389e-4,0.0291328002,2.9516799259e-4,3.78643017e-5,9.4895296097,2.6852500439,0.0264922995,0.0017692099791,7.1023101807,0.0718974024,5.43774986e-5,0.0387847014,1.6943800438e-4,0.00445759994909,0.0188174993,0.00189552002121,0.00814978964627,0.197773993,0.1568589956,2.481750016e-5,0.2125239968,0.00464656017721,10.1014995575
